6,6,"Asthma symptoms include wheezing, coughing, and breathing difficulty.",0.93,,,
7,7,Tuberculosis spreads through airborne droplets released during coughing or sneezing.,0.95,,,
8,8,"Heart disease risk increases with smoking, poor diet, and lack of exercise.",0.92,,,
9,9,Obesity prevention includes healthy eating and regular physical activity.,0.91,,,
10,10,"Stroke warning signs include numbness, confusion, and speech difficulty.",0.96,,,
11,11,"Pneumonia treatment may include antibiotics, rest, and hydration.",0.9,,,
12,12,Common mental health disorders include anxiety and depression.,0.89,,,
13,13,Vaccines reduce disease spread and improve public health outcomes.,0.94,,,
14,14,Hypertension symptoms may include headaches and dizziness.,0.88,,,
15,15,Balanced nutrition supports immune function and disease prevention.,0.92response_id,query_id,generated_answer,confidence_score
1,1,"""WHO states dengue symptoms include fever, headache, and nausea.""",0.95,,,
2,2,"""COVID-19 vaccines significantly reduce severe illness risk.""",0.93,,,
3,3,"""Diabetes management includes monitoring blood sugar levels.""",0.91,,,
4,4,"""Malaria is transmitted through infected mosquito bites.""",0.94,,,
5,5,"""Common vaccine side effects include fever and fatigue.""",0.89,,,
