chunk_id,chunk_text,chunk_index,section_id
1,"Dengue symptoms include fever, headache, nausea, and muscle pain.",1,1
2,Severe dengue may cause internal bleeding and shock.,2,1
3,Mosquito control helps prevent dengue transmission.,3,1
4,COVID-19 vaccines reduce severe illness and hospitalization.,4,1
5,Vaccination programs improve public health outcomes.,5,1
6,Common vaccine side effects include fatigue and fever.,6,1
7,Diabetes management requires monitoring blood glucose levels.,7,1
8,Healthy diet and regular exercise are important for treatment.,8,1
9,Insulin therapy may be necessary for some patients.,9,1
10,Malaria spreads through infected mosquito bites.,10,1
11,Antimalarial medications help control infection.,11,1
12,Preventive mosquito nets reduce malaria transmission.,12,1
13,Hypertension increases the risk of heart disease and stroke.,13,1
14,Reducing salt intake and exercising regularly can help manage blood pressure.,14,1
15,Asthma causes inflammation of the airways and difficulty breathing.,15,1
16,"Common triggers include smoke, dust, and pollen.",16,1
17,Inhalers help control asthma symptoms.,17,1
18,"Stroke symptoms include sudden numbness, confusion, and difficulty speaking.",18,1
19,Early treatment improves survival rates and reduces disability.,19,1
20,Nutrition plays an important role in maintaining health.,20,1
21,Balanced diets containing fruits and vegetables reduce disease risk.,21,1
22,Mental health conditions such as anxiety and depression affect millions worldwide.,22,1
23,Counseling and medication may help improve mental well-being.,23,1
24,Cancer screening helps detect disease early and improves treatment outcomes.,24,1
25,Regular screenings are recommended for high-risk individuals.,25,1
26,Tuberculosis primarily affects the lungs and spreads through airborne droplets.,26,1
27,Early diagnosis and antibiotic treatment improve recovery outcomes.,27,1
28,"Obesity increases the risk of diabetes, hypertension, and heart disease.",28,1
29,Balanced nutrition and regular exercise help maintain healthy body weight.,29,1
30,"Pneumonia causes inflammation in the lungs and may result in cough, fever, and breathing difficulty.",30,1
31,Vaccination reduces severe infection risk.,31,1
32,Anxiety disorders affect emotional well-being and daily functioning.,32,1
33,Therapy and medication may help manage symptoms.,33,1
34,Heart disease is one of the leading causes of death worldwide.,34,1
35,Smoking cessation and physical activity reduce cardiovascular risk.,35,1
36,Tuberculosis primarily affects the lungs and spreads through airborne droplets released during coughing and sneezing.,36,1
37,Early diagnosis and antibiotic treatment improve recovery outcomes and reduce transmission risk.,37,1
38,"Obesity increases the risk of diabetes, hypertension, heart disease, and stroke.",38,1
39,Healthy eating habits and regular physical activity help maintain a healthy body weight and reduce obesity-related complications.,39,1
40,"Pneumonia causes inflammation in the lungs and may result in fever, cough, chest pain, and breathing difficulty.",40,1
41,Vaccination and early medical treatment reduce severe infection risk.,41,1
42,Heart disease is one of the leading causes of death worldwide.,42,1
43,"Smoking cessation, healthy nutrition, physical activity, and blood pressure management improve cardiovascular health.",43,1
44,Depression affects emotional well-being and daily functioning.,44,1
45,"Counseling, therapy, medication, and social support may help manage symptoms and improve quality of life.",45,1
46,Kidney disease may develop as a complication of diabetes and hypertension.,46,1
47,Early screening and blood pressure control help reduce the risk of kidney failure.,47,1
48,Regular physical activity improves both mental and physical health.,48,1
49,"Exercise strengthens the cardiovascular system, improves mood, and reduces stress levels.",49,1
50,Immunization programs reduce the spread of infectious diseases and strengthen community protection.,50,1
51,Vaccines help the immune system recognize and fight harmful pathogens.,51,1
52,Dehydration occurs when the body loses more fluids than it receives.,52,1
53,Severe dehydration may require oral rehydration therapy or intravenous fluids.,53,1
54,Lung cancer is strongly associated with smoking and exposure to harmful chemicals.,54,1
55,Early detection improves treatment success and survival rates.,55,1
56,"Anxiety disorders may cause excessive fear, nervousness, and difficulty concentrating.",56,1
57,Psychological therapy and medication may help reduce symptoms.,57,1
58,Chronic respiratory diseases affect breathing and lung function.,58,1
59,"Air pollution, smoking, and occupational hazards increase respiratory disease risk.",59,1
60,"Healthy nutrition includes balanced intake of fruits, vegetables, proteins, and whole grains.",60,1
61,Nutritious diets reduce the risk of chronic diseases and improve overall health.,61,1
62,Stroke occurs when blood supply to the brain is interrupted.,62,1
63,"Warning signs include numbness, confusion, speech difficulty, and sudden weakness on one side of the body.",63,1
64,Malnutrition weakens the immune system and increases vulnerability to infections.,64,1
65,Children and older adults are particularly at risk of malnutrition-related complications.,65,1
66,Asthma causes inflammation and narrowing of the airways.,66,1
67,Inhalers and avoiding environmental triggers help manage asthma symptoms.,67,1
