6,What are symptoms of asthma?,01-05-2026 10:25,,
7,How does tuberculosis spread?,01-05-2026 10:30,,
8,What causes heart disease?,01-05-2026 10:35,,
9,How can obesity be prevented?,01-05-2026 10:40,,
10,What are warning signs of stroke?,01-05-2026 10:45,,
11,How is pneumonia treated?,01-05-2026 10:50,,
12,What are common mental health disorders?,01-05-2026 10:55,,
13,How do vaccines improve public health?,01-05-2026 11:00,,
14,What are symptoms of hypertension?,01-05-2026 11:05,,
15,How does nutrition affect health?,2026-05-01 11:10:00query_id,query_text,timestamp
1,"""What are symptoms of dengue?""","""2026-05-01 10:00:00""",,
2,"""How effective are COVID vaccines?""","""2026-05-01 10:05:00""",,
3,"""How is diabetes managed?""","""2026-05-01 10:10:00""",,
4,"""What causes malaria?""","""2026-05-01 10:15:00""",,
5,"""What are common vaccine side effects?""","""2026-05-01 10:20:00""",,
